0.02,36.92,79.01
0.03,36.92,76.82
0.05,36.85,83.19
0.07,37.02,73.19
0.08,36.88,82.67
0.1,36.88,80.48
0.12,36.99,77.68
0.13,37.16,74.46
0.15,37.09,84.63
0.17,37.19,76.39
0.18,37.29,76.28
0.2,37.26,85.15
0.22,37.36,76.89
0.23,37.53,75.02
0.25,37.46,80.01
0.27,37.63,75.41
0.28,37.6,85.62
0.3,37.56,84.96
0.32,37.87,75.46
0.33,37.87,74.59
0.35,37.87,83.23
0.37,38,77.46
0.38,38.04,80.46
0.4,38.07,87.52
0.42,38.14,84.88
0.43,38.28,81.81
0.45,38.31,79.36
0.47,38.38,86.21
0.48,38.48,81.98
0.5,38.65,80.06
0.52,38.79,78.33
0.53,38.72,80.56
0.55,38.82,84.46
0.57,38.92,82.94
0.58,38.99,78.89
0.6,39.13,78.51
0.62,39.16,80.11
0.63,39.33,76.8
0.65,39.36,79.74
0.67,39.43,81.12
0.68,39.47,84.05
0.7,39.53,81.34
0.72,39.63,82.51
0.73,39.7,83.86
0.75,39.77,81.15
0.77,39.94,79.18
0.78,40.01,79.17
0.8,40.04,80.72
0.82,40.18,76.23
0.83,40.18,82.06
0.85,40.25,82.04
0.87,40.35,80.45
0.88,40.52,77.1
0.9,40.48,83.12
0.92,40.62,78.6
0.93,40.62,81.7
0.95,40.79,78.33
0.97,40.86,79.64
0.98,40.93,76.88
1,40.93,81.33
1.02,41.13,73.67
1.03,41.16,77.89
1.05,41.23,77.84
1.07,41.33,77.57
1.08,41.44,74.59
1.1,41.44,80.37
1.12,41.47,80.5
1.13,41.54,81.8
1.15,41.64,80.16
1.17,41.78,81.03
1.18,41.84,79.59
1.2,41.88,79.71
1.22,42.05,76.28
1.23,41.98,81.1
1.25,42.12,79.24
1.27,42.25,76.01
1.28,42.32,75.91
1.3,42.32,78.94
1.32,42.46,75.7
1.33,42.49,78.52
1.35,42.63,76.64
1.37,42.59,74.42
1.38,42.69,76.83
1.4,42.83,72.22
1.42,42.86,80.46
1.43,42.9,77.82
1.45,42.97,77.69
1.47,43.07,76
1.48,43.07,76.27
1.5,43.17,78.66
1.52,43.24,77.16
1.53,43.41,73.69
1.55,43.44,75.1
1.57,43.41,78.29
1.58,43.61,73.24
1.6,43.54,75.26
1.62,43.65,77.63
1.63,43.75,75.91
1.65,43.82,74.38
1.67,43.95,71.1
1.68,43.92,74.25
1.7,43.99,80.9
1.72,44.12,73.51
1.73,44.16,74.9
1.75,44.12,78.06
1.77,44.29,71.82
1.78,44.29,76.13
1.8,44.43,70.1
1.82,44.46,71.49
1.83,44.6,69.52
1.85,44.53,78.32
1.87,44.7,70.71
1.88,44.77,69.14
1.9,44.84,68.95
1.92,44.87,71.66
1.93,44.87,74.59
1.95,45.01,72.62
1.97,45.08,71.04
1.98,45.14,70.84
2,45.21,69.25
2.02,45.21,73.53
2.03,45.35,67.46
2.05,45.35,71.72
2.07,45.48,68.36
2.08,45.48,71.27
2.1,45.59,69.47
2.12,45.52,71.42
2.13,45.69,66.49
2.15,45.65,75.04
2.17,45.86,68.53
2.18,45.82,71.63
2.2,45.99,69.4
2.22,45.96,72.48
2.23,46.2,60.33
2.25,46.16,66.13
2.27,46.13,70.57
2.28,46.23,67.38
2.3,46.2,69.11
2.32,46.37,61.42
2.33,46.47,65.04
2.35,46.47,66.54
2.37,46.57,66.07
2.38,46.57,67.57
2.4,46.5,76.29
2.42,46.64,64.7
2.43,46.78,62.66
2.45,46.74,69.8
2.47,46.91,62.1
2.48,46.91,64.94
2.5,46.88,69.36
2.52,46.95,66.35
2.53,47.08,64.28
2.55,47.08,68.49
2.57,47.22,60.97
2.58,47.25,69.05
2.6,47.29,62.15
2.62,47.32,62.05
2.63,47.36,68.76
2.65,47.42,64.36
2.67,47.53,59.76
2.68,47.53,61.23
2.7,47.66,56.43
2.72,47.56,63.94
2.73,47.8,57.15
2.75,47.73,64.47
2.77,47.8,64.14
2.78,47.8,64.23
2.8,47.9,63.7
2.82,47.97,62.01
2.83,48.04,58.96
2.85,48.07,61.55
2.87,48.07,64.36
2.88,48.24,56.6
2.9,48.21,59.59
2.92,48.28,60.62
2.93,48.28,60.69
