0.02,23.4,0
0.03,23.43,51.82
0.05,23.43,54.17
0.07,23.43,54.82
0.08,23.43,53.79
0.1,23.5,53.9
0.12,23.5,54.55
0.13,23.5,55.2
0.15,23.57,57
0.17,23.57,61.03
0.18,23.64,57.73
0.2,23.7,52.76
0.22,23.7,60.15
0.23,23.84,54.62
0.25,23.84,58.61
0.27,23.87,60.64
0.28,23.91,60.97
0.3,24.08,51.76
0.32,24.08,57.43
0.33,24.14,55.8
0.35,24.21,59.21
0.37,24.28,54.18
0.38,24.25,60.09
0.4,24.35,59.85
0.42,24.52,57.36
0.43,24.58,57.35
0.45,24.62,57.62
0.47,24.65,57.89
0.48,24.79,52.28
0.5,24.82,57.57
0.52,24.89,62.63
0.53,24.89,61.45
0.55,24.92,63.36
0.57,25.16,50.12
0.58,25.16,55.68
0.6,25.26,55.35
0.62,25.33,55.29
0.63,25.4,51.83
0.65,25.46,50.06
0.67,25.57,54.77
0.68,25.67,51
0.7,25.6,60.45
0.72,25.73,56.41
0.73,25.77,56.57
0.75,25.9,54.2
0.77,25.97,52.38
0.78,26.04,53.92
0.8,26.04,54.32
0.82,26.11,55.87
0.83,26.17,54.02
0.85,26.31,49.93
0.87,26.24,57.61
0.88,26.24,61.37
0.9,26.34,55.85
0.92,26.41,55.67
0.93,26.51,55.22
0.95,26.51,55.57
0.97,26.58,53.67
0.98,26.58,59.08
1,26.78,49.34
1.02,26.75,53.31
1.03,26.82,56.47
1.05,26.92,57.66
1.07,26.95,57.69
1.08,27.02,55.76
1.1,27.09,55.51
1.12,27.16,51.87
1.13,27.19,56.95
1.15,27.36,49.1
1.17,27.36,49.37
1.18,27.39,51.06
1.2,27.49,50.5
1.22,27.6,48.23
1.23,27.66,51.31
1.25,27.66,51.55
1.27,27.7,53.2
1.28,27.77,51.19
1.3,27.87,50.6
1.32,27.9,48.83
1.33,27.93,53.86
1.35,28,50.13
1.37,28.07,49.78
1.38,28.07,55.05
1.4,28.21,49.07
1.42,28.24,52.36
1.43,28.34,50.02
1.45,28.41,47.95
1.47,28.51,45.59
1.48,28.61,41.54
1.5,28.54,50.69
1.52,28.58,48.87
1.53,28.71,44.53
1.55,28.78,44.12
1.57,28.71,53.25
1.58,28.81,52.55
1.6,28.85,49
1.62,28.88,47.15
1.63,29.05,44.2
1.65,29.09,44.02
1.67,29.09,40.72
1.68,29.19,43.39
1.7,29.26,39.54
1.72,29.29,42.73
1.73,29.36,45.64
1.75,29.36,45.7
1.77,29.36,47.45
1.78,29.46,43.31
1.8,29.59,35.5
1.82,29.66,36.69
1.83,29.73,36.18
1.85,29.73,36.21
1.87,29.83,32.04
1.88,29.83,42.21
1.9,29.76,44.47
1.92,29.93,32.97
1.93,29.9,40.02
1.95,29.86,48.77
1.97,30.03,35.54
1.98,30.07,36.97
2,30.17,34.44
2.02,30.17,36.13
2.03,30.2,35.84
2.05,30.31,33.31
2.07,30.31,33.28
2.08,30.34,39.74
2.1,30.41,32.39
2.12,30.44,33.77
2.13,30.54,31.22
2.15,30.47,33.4
2.17,30.58,30.85
2.18,30.58,34.17
2.2,30.58,37.51
2.22,30.58,40.83
2.23,30.68,36.55
2.25,30.71,36.2
2.27,30.75,30.78
2.28,30.78,30.43
2.3,30.88,31.23
2.32,30.91,34.26
2.33,30.98,26.82
2.35,30.91,27.29
2.37,30.98,35.11
2.38,31.05,27.69
2.4,31.15,20
2.42,31.15,23.27
2.43,31.15,24.86
2.45,31.12,28.4
2.47,31.19,29.43
2.48,31.25,25.38
2.5,31.25,28.65
2.52,31.32,21.19
2.53,31.29,29.8
2.55,31.32,27.7
2.57,31.32,27.57
2.58,31.42,23.23
2.6,31.42,24.78
2.62,31.46,19.29
2.63,31.49,20.57
2.65,31.52,18.45
2.67,31.59,19.44
2.68,31.59,17.59
2.7,31.56,22.8
2.72,31.63,20.4
2.73,31.52,27.84
2.75,31.63,21.77
2.77,31.69,15.99
2.78,31.63,18.06
2.8,31.66,22.7
2.82,31.73,16.91
2.83,31.69,22.09
2.85,31.76,21.37
2.87,31.8,15.85
2.88,31.83,15.39
2.9,31.76,24.23
2.92,31.8,23.78
2.93,31.86,16.25
2.95,31.9,9.03
2.97,31.83,22.95
2.98,31.86,19.09
3,31.86,18.91
3.02,32.03,12.27
3.03,32.03,7
3.05,31.93,19.47
3.07,32,11.95
3.08,31.97,18.8
3.1,31.97,13.52
3.12,32.07,10.81
3.13,32,14.54
3.15,32.03,12.38
3.17,32.07,11.9
3.18,32.1,9.73
3.2,32,13.73
3.22,32.03,13.26
3.23,32.07,14.47
3.25,32,19.89
3.27,32.03,16.02
3.28,32.07,13.85
3.3,32.17,9.43
3.32,32.07,15.13
3.33,32.1,14.64
3.35,32.07,14.7
3.37,32.17,8.58
3.38,32.14,8.63
3.4,32.1,13.79
3.42,32.2,2.58
3.43,32.1,8.28
3.45,32.17,9.21
3.47,32.2,8.72
3.48,32.17,8.77
3.5,32.1,14.19
3.52,32.17,6.65
3.53,32.2,2.77
3.55,32.24,3.97
3.57,32.17,9.38
3.58,32.2,7.2
3.6,32.17,8.94
3.62,32.17,5.34
3.63,32.1,9.07
3.65,32.14,6.88
3.67,32.07,12.3
3.68,32.14,6.46
3.7,32.2,5.69
3.72,32.17,5.75
3.73,32.14,5.81
3.75,32.14,7.28
3.77,32.14,3.68
3.78,32.17,0
3.8,32.17,1.29
3.82,32.07,10.37
3.83,32.17,2.56
3.85,32.17,0
3.87,32.1,6.08
3.88,32.1,0.78
3.9,32.03,6.2
3.92,32.1,2.06
3.93,32.07,7.21
3.95,32.1,3.33
3.97,32.1,0
3.98,32.17,0
4,32.14,0
4.02,32.03,3.04
4.03,32.07,4.26
4.05,32,7.98
4.07,32.03,2.43
4.08,32.03,3.92
4.1,32,2.29
4.12,32.03,0.13
4.13,31.93,7.52
4.15,31.93,5.63
4.17,31.86,9.36
4.18,31.97,0
4.2,31.97,3.08
4.22,31.9,5.12
4.23,32,0.72
4.25,31.93,2.76
4.27,31.9,0
4.28,32.03,0
4.3,31.93,0
4.32,31.86,0.85
4.33,31.86,0
4.35,31.83,2.46
4.37,31.86,1.99
4.38,31.83,5.47
4.4,31.9,0
4.42,31.8,3.67
4.43,31.73,9.11
4.45,31.8,0
4.47,31.8,0
4.48,31.73,6.89
4.5,31.8,0
4.52,31.73,1.44
4.53,31.8,0
4.55,31.69,1.36
4.57,31.69,1.19
4.58,31.73,0.75
4.6,31.69,0
4.62,31.73,0
4.63,31.69,0
4.65,31.66,0
4.67,31.59,1
4.68,31.66,0
4.7,31.63,0.4
4.72,31.59,0
4.73,31.56,2.31
4.75,31.56,0.46
4.77,31.56,0
4.78,31.63,0
4.8,31.49,0.54
4.82,31.52,1.82
4.83,31.49,0
4.85,31.56,0
4.87,31.52,0
4.88,31.49,0
4.9,31.46,0
4.92,31.46,0
4.93,31.52,0
4.95,31.42,1.43
4.97,31.49,0
4.98,31.39,0
5,31.39,1.28
5.02,31.39,0
5.03,31.39,0
5.05,31.32,0
5.07,31.29,1.54
5.08,31.36,0
5.1,31.46,0
5.12,31.25,3.11
5.13,31.22,6.64
5.15,31.29,0.87
5.17,31.32,0
5.18,31.29,0.61
5.2,31.29,0
5.22,31.25,0
5.23,31.32,0
5.25,31.15,2.89
5.27,31.22,0
5.28,31.29,0
5.3,31.19,0.56
5.32,31.19,0.43
5.33,31.15,0
5.35,31.08,2.71
5.37,31.15,0
5.38,31.08,2.48
5.4,31.12,0
5.42,31.08,0.56
5.43,31.08,0
5.45,31.08,0
5.47,31.12,0
5.48,31.05,2.09
5.5,31.08,0
5.52,31.08,0
5.53,30.95,0
5.55,30.98,0.53
5.57,30.98,0
5.58,31.08,0
5.6,30.95,0
5.62,30.91,2.38
5.63,30.91,2.28
5.65,30.98,0
5.67,30.98,0
5.68,30.91,0
5.7,30.91,0
5.72,30.98,0
5.73,30.88,0
5.75,30.98,0
5.77,30.91,0
5.78,30.91,0
5.8,30.88,0
5.82,30.85,0
5.83,30.88,0
5.85,30.91,0
5.87,30.88,0
5.88,30.78,0
5.9,30.81,0
5.92,30.78,0
5.93,30.81,0
5.95,30.75,1.95
5.97,30.75,0
5.98,30.78,0
6,30.68,3.96
6.02,30.81,0
6.03,30.75,0
6.05,30.71,0
6.07,30.71,0
6.08,30.68,0
6.1,30.64,3.8
6.12,30.58,7.67
6.13,30.64,0
6.15,30.71,0
6.17,30.64,0
6.18,30.68,0
6.2,30.64,1.71
6.22,30.58,0
6.23,30.58,0.45
6.25,30.58,2.08
6.27,30.58,0
6.28,30.61,0
6.3,30.58,0
6.32,30.51,0.67
6.33,30.54,0
6.35,30.47,0
6.37,30.58,0
6.38,30.54,0
6.4,30.47,0
6.42,30.54,0
6.43,30.51,0
6.45,30.47,0
6.47,30.54,0
6.48,30.54,0
6.5,30.51,0
6.52,30.44,0
6.53,30.44,0
6.55,30.51,0
6.57,30.34,1.3
6.58,30.37,0.99
6.6,30.41,0
6.62,30.37,0
6.63,30.37,0
6.65,30.34,1.11
6.67,30.37,0
6.68,30.37,0.76
6.7,30.37,0
6.72,30.34,0.96
6.73,30.37,0
6.75,30.37,0
6.77,30.27,0
6.78,30.34,0
6.8,30.24,1.61
6.82,30.24,3.28
6.83,30.34,0
6.85,30.31,0
6.87,30.27,0
6.88,30.31,0
6.9,30.24,0
6.92,30.24,0
6.93,30.27,0
6.95,30.24,0
6.97,30.17,2.03
6.98,30.24,0
7,30.24,0
7.02,30.17,0
7.03,30.24,0
7.05,30.14,2.3
7.07,30.14,0.61
7.08,30.17,0
7.1,30.1,0.89
7.12,30.14,0.61
7.13,30.14,0
7.15,30.1,0
7.17,30.1,4.28
7.18,30.1,0
7.2,30.1,0
7.22,30.07,0
7.23,30.07,4.54
7.25,30.07,0
7.27,30.1,0
7.28,30.07,0
7.3,30.1,0
7.32,30.07,0
7.33,29.97,3.67
7.35,30.07,0
7.37,29.97,5.36
7.38,30,0
7.4,29.93,3.93
7.42,30,1.71
7.43,30.03,0
7.45,30.03,0
7.47,30,0
7.48,29.97,0.28
7.5,30,0.01
7.52,29.93,2.25
7.53,29.93,2.25
7.55,29.97,3.68
7.57,29.93,0.56
7.58,29.9,5.92
7.6,29.93,0
7.62,30.03,0
7.63,29.9,5.93
7.65,29.86,6.21
7.67,29.9,0.87
7.68,29.86,1.16
7.7,29.93,2.31
7.72,29.86,4.56
7.73,29.93,0
7.75,29.93,0
7.77,29.9,0.93
7.78,29.93,0
7.8,29.8,5.16
7.82,29.9,0
7.83,29.76,3.77
7.85,29.83,4.93
7.87,29.86,0
7.88,29.83,3.27
7.9,29.86,3.01
7.92,29.83,1.61
7.93,29.76,7.25
7.95,29.8,0.22
7.97,29.8,0.25
7.98,29.8,3.65
8,29.83,0
8.02,29.76,0.58
8.03,29.8,3.72
8.05,29.66,9.91
8.07,29.73,7.69
8.08,29.73,2.64
8.1,29.83,0.15
8.12,29.76,4.1
8.13,29.73,7.78
8.15,29.76,2.46
8.17,29.73,1.06
8.18,29.76,0
8.2,29.73,6.19
8.22,29.76,2.56
8.23,29.7,4.82
8.25,29.7,1.47
8.27,29.76,0
8.28,29.7,4.91
8.3,29.63,5.49
8.32,29.73,4.7
8.33,29.76,0
8.35,29.8,0
8.37,29.8,0
8.38,29.7,3.39
8.4,29.76,1.18
8.42,29.66,7.1
8.43,29.59,7.68
8.45,29.7,5.2
8.47,29.8,0
8.48,29.59,9.46
8.5,29.7,3.6
8.52,29.76,1.39
8.53,29.63,7.59
8.55,29.7,8.77
8.57,29.76,0
8.58,29.56,11.61
8.6,29.76,1.54
8.62,29.66,0.7
8.63,29.73,1.88
8.65,29.7,3.88
8.67,29.76,0
8.68,29.66,7.59
8.7,29.8,0
8.72,29.7,2.3
8.73,29.7,0.64
8.75,29.63,4.61
8.77,29.7,4.1
8.78,29.76,0.2
8.8,29.59,8.36
8.82,29.63,6.43
8.83,29.73,0.57
8.85,29.7,0.87
8.87,29.66,4.57
8.88,29.73,4.05
8.9,29.7,6.04
8.92,29.7,6.07
8.93,29.7,2.72
8.95,29.66,6.41
8.97,29.66,9.82
8.98,29.63,6.74
9,29.63,3.4
9.02,29.66,9.93
9.03,29.59,8.81
9.05,29.76,4.09
9.07,29.66,1.56
9.08,29.66,0
9.1,29.66,3.33
9.12,29.73,2.81
9.13,29.73,2.84
9.15,29.63,12.15
9.17,29.66,1.76
9.18,29.63,13.91
9.2,29.66,6.9
9.22,29.63,7.21
9.23,29.63,7.24
9.25,29.7,1.65
9.27,29.7,3.38
9.28,29.66,7.07
9.3,29.63,9.07
9.32,29.66,5.44
9.33,29.63,7.44
9.35,29.66,7.21
9.37,29.73,3.31
9.38,29.66,7.27
9.4,29.59,9.54
9.42,29.7,1.99
9.43,29.76,3.16
9.45,29.7,5.43
9.47,29.7,5.46
9.48,29.7,5.49
9.5,29.66,7.49
9.52,29.7,5.55
9.53,29.66,5.86
9.55,29.63,6.17
9.57,29.63,11.28
9.58,29.66,11.04
9.6,29.73,5.44
9.62,29.66,9.4
9.63,29.7,5.77
9.65,29.76,5.25
9.67,29.7,2.44
9.68,29.7,5.86
9.7,29.63,14.9
9.72,29.7,4.23
9.73,29.73,7.37
9.75,29.63,6.53
9.77,29.76,5.47
9.78,29.7,11.11
9.8,29.63,11.69
9.82,29.7,4.4
9.83,29.73,5.85
9.85,29.76,3.91
9.87,29.73,4.21
9.88,29.66,9.87
9.9,29.76,2.31
9.92,29.76,2.33
9.93,29.66,8.26
9.95,29.8,2.12
9.97,29.7,13.12
9.98,29.7,9.76
10,29.73,6.13
10.02,29.73,6.15
10.03,29.73,4.49
10.05,29.73,9.59
10.07,29.7,9.89
10.08,29.76,2.6
10.1,29.8,4.05
10.12,29.83,3.79
10.13,29.8,4.09
10.15,29.83,0
10.17,29.8,2.44
10.18,29.73,8.09
10.2,29.73,6.42
10.22,29.8,4.21
10.23,29.76,4.51
10.25,29.8,5.95
10.27,29.73,9.9
10.28,29.8,4.3
10.3,29.76,7.98
10.32,29.73,9.97
10.33,29.76,6.33
10.35,29.73,8.32
10.37,29.83,5.83
10.38,29.73,10.06
10.4,29.83,4.18
10.42,29.8,7.86
10.43,29.73,6.74
10.45,29.73,5.07
10.47,29.8,7.93
10.48,29.83,2.6
10.5,29.76,3.17
10.52,29.76,8.27
10.53,29.86,2.4
10.55,29.8,6.35
10.57,29.8,2.98
10.58,29.86,5.84
10.6,29.8,6.41
10.62,29.9,0.53
10.63,29.8,4.75
10.65,29.86,9.3
10.67,29.73,13.79
10.68,29.83,7.91
10.7,29.8,6.51
10.72,29.83,6.25
10.73,29.86,4.31
10.75,29.83,6.29
10.77,29.83,2.92
10.78,29.76,11.95
10.8,29.86,11.14
10.82,29.86,1
10.83,29.86,4.4
10.85,29.93,0.49
10.87,29.8,10.05
10.88,29.83,8.11
10.9,29.93,2.22
10.92,29.86,1.09
10.93,29.86,6.18
10.95,29.83,8.16
10.97,29.86,1.14
10.98,29.9,2.57
11,29.86,11.32
11.02,29.83,11.6
11.03,29.83,8.23
11.05,29.86,7.97
11.07,29.97,0.39
11.08,29.83,6.57
11.1,29.86,8.01
